ID,Arq,Activ,BS,MSETrain,MSEPred,Num_data
19,"[9, 32, 64, 2]",relu,15,0.0018,0.0018,5
1,"[9, 32, 64, 2]",relu,10,0.0024,0.0024,5
20,"[9, 64, 128, 2]",swish,15,0.0014,0.0014,5
21,"[9, 32, 32, 16, 2]",relu,15,0.0028,0.0028,5
22,"[9, 128, 64, 16, 2]",swish,15,0.0014,0.0015,5
23,"[9, 16, 32, 64, 16, 2]",relu,15,0.0034,0.0034,5
2,"[9, 64, 128, 2]",swish,10,0.1858,0.1828,5
3,"[9, 32, 32, 16, 2]",relu,10,0.0018,0.0018,5
5,"[9, 16, 32, 64, 16, 2]",relu,10,0.0024,0.0023,5
11,"[12, 16, 32, 64, 16, 2]",relu,10,0.0019,0.0018,8
25,"[12, 32, 64, 2]",relu,15,0.0016,0.0016,8
26,"[12, 64, 128, 2]",swish,15,0.0054,0.0055,8
27,"[12, 32, 32, 16, 2]",relu,15,0.0011,0.001,8
28,"[12, 128, 64, 16, 2]",swish,15,0.0027,0.0027,8
29,"[12, 16, 32, 64, 16, 2]",relu,15,0.0013,0.0013,8
7,"[12, 32, 64, 2]",relu,10,0.0017,0.0017,8
9,"[12, 32, 32, 16, 2]",relu,10,0.0016,0.0015,8
13,"[14, 32, 64, 2]",relu,10,0.0013,0.0013,10
15,"[14, 32, 32, 16, 2]",relu,10,0.0011,0.001,10
17,"[14, 16, 32, 64, 16, 2]",relu,10,0.0012,0.0012,10
18,"[14, 32, 64, 32, 16, 2]",swish,10,195.4013,192.2986,10
31,"[14, 32, 64, 2]",relu,15,0.0016,0.0016,10
32,"[14, 64, 128, 2]",swish,15,0.0012,0.0011,10
33,"[14, 32, 32, 16, 2]",relu,15,0.0009,0.0009,10
34,"[14, 128, 64, 16, 2]",swish,15,0.0044,0.0044,10
35,"[14, 16, 32, 64, 16, 2]",relu,15,0.0013,0.0013,10
